"暫停交易證券 查詢範圍：全部上市證券 期間：108/08/01 到 112/07/18"
"編號","證券代號","證券名稱","暫停交易日期","暫停交易時間","恢復交易日期","恢復交易時間",
"1",="03005P","欣興元大15售14","111/02/22","8:00","111/02/23","8:00",
"2",="03006P","欣興元大17售03","111/02/22","8:00","111/02/23","8:00",
"3",="030072","國巨群益0A購01","110/06/30","8:00","110/07/01","8:00",
"4",="03009P","國巨永豐91售03","108/11/12","8:00","108/11/13","8:00",
"5",="03013P","欣興國票16售02","111/02/22","8:00","111/02/23","8:00",
"6",="030169","益登國泰0C購01","110/09/30","8:00","110/10/01","8:00",
"7",="030216","益登凱基0A購01","110/09/30","8:00","110/10/01","8:00",
"8",="03029X","元展26","108/11/12","8:00","108/11/13","8:00",
"9",="03032P","欣興兆豐17售03","111/02/22","8:00","111/02/23","8:00",
"10",="03033X","元展30","109/08/18","8:00","109/08/19","8:00",
"11",="03038X","元展35","109/08/13","8:00","109/08/14","8:00",
"12",="03041P","國巨群益92售03","108/11/12","8:00","108/11/13","8:00",
"13",="030426","益登元大0A購01","110/09/30","8:00","110/10/01","8:00",
"14",="030427","益登元大0A購02","110/09/30","8:00","110/10/01","8:00",
"15",="030513","益登群益0A購01","110/09/30","8:00","110/10/01","8:00",
"16",="030534","國巨凱基0A購03","110/06/30","8:00","110/07/01","8:00",
"17",="030575","國巨富邦0B購02","110/06/30","8:00","110/07/01","8:00",
"18",="03059P","國巨國泰92售03","108/11/12","8:00","108/11/13","8:00",
"19",="030643","國巨日盛0A購02","110/06/30","8:00","110/07/01","8:00",
"20",="030666","貿聯永豐0A購01","110/10/01","8:00","110/10/04","8:00",
"21",="03067P","國巨國票91售06","108/11/12","8:00","108/11/13","8:00",
"22",="030682","國巨兆豐0A購03","110/06/30","8:00","110/07/01","8:00",
"23",="030711","貿聯群益0A購01","110/10/01","8:00","110/10/04","8:00",
"24",="030828","國巨中信0B購03","110/06/30","8:00","110/07/01","8:00",
"25",="03087P","欣興群益15售04","111/02/22","8:00","111/02/23","8:00",
"26",="030948","國巨富邦0C購01","110/06/30","8:00","110/07/01","8:00",
"27",="030950","奇力新富邦0C購01","110/06/30","8:00","110/07/01","8:00",
"28",="03103P","欣興凱基15售12","111/02/22","8:00","111/02/23","8:00",
"29",="031275","貿聯統一0C購01","110/10/01","8:00","110/10/04","8:00",
"30",="031393","國巨日盛0A購03","110/06/30","8:00","110/07/01","8:00",
"31",="03139P","欣興元大15售21","111/02/22","8:00","111/02/23","8:00",
"32",="031421","國巨凱基0A購04","110/06/30","8:00","110/07/01","8:00",
"33",="031532","國巨富邦0C購02","110/06/30","8:00","110/07/01","8:00",
"34",="03176P","欣興中信16售01","111/02/22","8:00","111/02/23","8:00",
"35",="031811","中橡元大0B購01","110/11/11","8:00","110/11/12","8:00",
"36",="03182P","國巨中信91售02","108/11/12","8:00","108/11/13","8:00",
"37",="03194P","國巨元富07售14","110/06/30","8:00","110/07/01","8:00",
"38",="03206P","國巨凱基93售02","108/11/12","8:00","108/11/13","8:00",
"39",="03216P","國巨統一92售01","108/11/12","8:00","108/11/13","8:00",
"40",="032192","奇力新群益0A購01","110/06/30","8:00","110/07/01","8:00",
"41",="03229P","國巨群益92售04","108/11/12","8:00","108/11/13","8:00",
"42",="032305","國巨永豐0A購01","110/06/30","8:00","110/07/01","8:00",
"43",="032332","國巨群益0A購03","110/06/30","8:00","110/07/01","8:00",
"44",="032483","國巨兆豐0B購01","110/06/30","8:00","110/07/01","8:00",
"45",="032532","奇力新凱基0A購02","110/06/30","8:00","110/07/01","8:00",
"46",="032632","國巨統一0B購05","110/06/30","8:00","110/07/01","8:00",
"47",="03268P","可成元大02售01","109/08/18","8:00","109/08/19","8:00",
"48",="03272P","欣興元大16售05","111/02/22","8:00","111/02/23","8:00",
"49",="032811","國巨國票0B購02","110/06/30","8:00","110/07/01","8:00",
"50",="032812","國巨國票0B購03","110/06/30","8:00","110/07/01","8:00",
"51",="032813","國巨國票0C購01","110/06/30","8:00","110/07/01","8:00",
"52",="032831","國巨富邦0C購03","110/06/30","8:00","110/07/01","8:00",
"53",="032838","國巨國泰0C購01","110/06/30","8:00","110/07/01","8:00",
"54",="032874","國巨凱基0A購05","110/06/30","8:00","110/07/01","8:00",
"55",="032919","中橡國票0B購01","110/11/11","8:00","110/11/12","8:00",
"56",="03293P","和碩元大02售01","109/08/13","8:00","109/08/14","8:00",
"57",="033011","國巨麥證0A購02","110/06/30","8:00","110/07/01","8:00",
"58",="033015","奇力新麥證0A購01","110/06/30","8:00","110/07/01","8:00",
"59",="03308P","國巨元大92售14","108/11/12","8:00","108/11/13","8:00",
"60",="033127","國巨元大0A購02","110/06/30","8:00","110/07/01","8:00",
"61",="03317P","欣興群益17售02","111/02/22","8:00","111/02/23","8:00",
"62",="033210","奇力新群益0B購01","110/06/30","8:00","110/07/01","8:00",
"63",="033289","欣興統一13購01","111/02/22","8:00","111/02/23","8:00",
"64",="03332P","欣興元富17售05","111/02/22","8:00","111/02/23","8:00",
"65",="03338P","欣興麥證16售01","111/02/22","8:00","111/02/23","8:00",
"66",="03347P","國巨元大93售06","108/11/12","8:00","108/11/13","8:00",
"67",="033506","欣興統一13購02","111/02/22","8:00","111/02/23","8:00",
"68",="033543","國巨元富12購01","110/06/30","8:00","110/07/01","8:00",
"69",="033544","國巨元富12購02","110/06/30","8:00","110/07/01","8:00",
"70",="033612","奇力新群益0B購02","110/06/30","8:00","110/07/01","8:00",
"71",="03365P","欣興凱基16售06","111/02/22","8:00","111/02/23","8:00",
"72",="033661","奇力新統一13購01","110/06/30","8:00","110/07/01","8:00",
"73",="033662","欣興統一15購01","111/02/22","8:00","111/02/23","8:00",
"74",="033663","欣興統一15購02","111/02/22","8:00","111/02/23","8:00",
"75",="03367P","國巨元大93售07","108/11/12","8:00","108/11/13","8:00",
"76",="033747","國巨國泰11購01","110/06/30","8:00","110/07/01","8:00",
"77",="033763","奇力新凱基0C購01","110/06/30","8:00","110/07/01","8:00",
"78",="033784","國巨元大0B購05","110/06/30","8:00","110/07/01","8:00",
"79",="033785","國巨元大0C購07","110/06/30","8:00","110/07/01","8:00",
"80",="033839","國巨兆豐0B購02","110/06/30","8:00","110/07/01","8:00",
"81",="03385P","欣興國票17售03","111/02/22","8:00","111/02/23","8:00",
"82",="033885","貿聯元富0B購01","110/10/01","8:00","110/10/04","8:00",
"83",="033911","國巨日盛0B購02","110/06/30","8:00","110/07/01","8:00",
"84",="033913","國巨台新0B購01","110/06/30","8:00","110/07/01","8:00",
"85",="033923","國巨元大0B購06","110/06/30","8:00","110/07/01","8:00",
"86",="033924","國巨元大0B購07","110/06/30","8:00","110/07/01","8:00",
"87",="033925","國巨元大13購01","110/06/30","8:00","110/07/01","8:00",
"88",="033934","貿聯元大0B購01","110/10/01","8:00","110/10/04","8:00",
"89",="033949","國巨國票0B購04","110/06/30","8:00","110/07/01","8:00",
"90",="033950","國巨國票0C購02","110/06/30","8:00","110/07/01","8:00",
"91",="033991","奇力新兆豐0B購01","110/06/30","8:00","110/07/01","8:00",
"92",="034036","國巨元富12購03","110/06/30","8:00","110/07/01","8:00",
"93",="034037","國巨元富12購04","110/06/30","8:00","110/07/01","8:00",
"94",="034044","奇力新元富0B購02","110/06/30","8:00","110/07/01","8:00",
"95",="034066","國巨富邦11購01","110/06/30","8:00","110/07/01","8:00",
"96",="034083","國巨元大0C購08","110/06/30","8:00","110/07/01","8:00",
"97",="034106","國巨群益0B購01","110/06/30","8:00","110/07/01","8:00",
"98",="034107","國巨群益0B購02","110/06/30","8:00","110/07/01","8:00",
"99",="034128","奇力新兆豐0B購02","110/06/30","8:00","110/07/01","8:00",
"100",="034144","國巨凱基15購01","110/06/30","8:00","110/07/01","8:00",
"101",="034250","國巨統一11購01","110/06/30","8:00","110/07/01","8:00",
"102",="034278","國巨富邦11購02","110/06/30","8:00","110/07/01","8:00",
"103",="034346","國巨元富12購06","110/06/30","8:00","110/07/01","8:00",
"104",="034383","國巨元大0B購09","110/06/30","8:00","110/07/01","8:00",
"105",="034384","國巨元大0B購10","110/06/30","8:00","110/07/01","8:00",
"106",="034418","國巨統一11購02","110/06/30","8:00","110/07/01","8:00",
"107",="034439","國巨凱基0B購04","110/06/30","8:00","110/07/01","8:00",
"108",="034480","國巨元大0B購11","110/06/30","8:00","110/07/01","8:00",
"109",="034481","國巨元大0B購12","110/06/30","8:00","110/07/01","8:00",
"110",="034482","國巨元大0C購09","110/06/30","8:00","110/07/01","8:00",
"111",="034505","國巨凱基0B購05","110/06/30","8:00","110/07/01","8:00",
"112",="034557","國巨群益0B購03","110/06/30","8:00","110/07/01","8:00",
"113",="034562","國巨國泰11購03","110/06/30","8:00","110/07/01","8:00",
